# Cross-Document Technical Audit:

## 1. TRADE PACKAGE: STRUCTURAL STEEL

**Baseline Scope:**
- Structural steel generally grade S355/S355JR to EN/NBN EN 10025 and hollow sections to NBN EN 10210.
- Design to Eurocodes including NBN EN 1990/1991/1993 (and EN 1993-1-10, EN 1993-1-8 where stated).
- Execution to EN 1090-2, Execution Class EXC2; NSSSBC 5th Edition referenced for primary frames.
- Connection design, erection tolerances and QA regime defined across primary frames, secondary steel, and interfaces.
- Bolting: non-preloaded bolts to NBN EN 15048; high-strength preloaded assemblies to NBN EN 14399 where required.
- Welding to EN 1011 and NBN EN ISO 9606-1 with associated structural detailing and inspection requirements.
- Scope includes:
  - Primary frames, beams, columns, baseplates and holding-down assemblies (H.D.A.).
  - Secondary steel for cladding, parapet cappings, flashings, louvres, canopies, doors/windows, roof liners, roof penetrations, movement joints.
  - Steel supports for Eurobond/Euroclad/Kingspan roof and wall systems and diaphragm action of roof decks.
  - Generator and USS trench beams/frames and similar embedded steel.
  - Cooling tower gantry frames (Shell A) across Phases 1–4 including integration between phases.
  - Structural supports for RMUs, battery boxes, plant, AHUs, and tray/pipe support interfaces.
  - External access steel (stairs, ladders, walkways, bumper rails) designed in conjunction with EN ISO 14122.
  - Miscellaneous structural frames for roller shutters, doors, smoke extract louvres, AOVs, and openings.
  - Steel interfaces (kickers, bolts, H.D.A.) cast into foundations, pad foundations, plinths and slabs across all phases.
- Anchor bolts, confinement angles and grout requirements consistently defined for all interfaces to foundations and slabs, with survey/QA procedures for H.D.A. setting-out.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Foundations | H.D.A. and steel interfaces cast into SSA foundations/slabs for the frame. | Interface-only scope. |
| CSA-SSA PHASE 1 | SSA Site Development (Cycle Route) | Miscellaneous metal fabrications (potential bollards/edge restraints) treated as misc steel. | Allow for minor structural members without detailed system spec. |
| CSA-SSA PHASE 1 | SSA - FSA Additional AHU Foundation | H.D.A. interfaces in AHU foundation for mechanical plant steel supports. | Interface-only structural steel. |
| CSA PHASE 2 | DCH - Structural Steel PH2 | S355 EXC2 extension frame for DCH Phase 2; connection design to NBN EN 1993; access steel to EN ISO 14122; integration with Phase 1 frame and external access steel. | Phase 2 expansion of DCH frame and access steel. |
| CSA PHASE 2 | DCH - Envelope PH2 | Secondary steel/misc fabrications to EN 10025/10210 for cladding, parapets, louvres, penetrations. | New envelope secondary steel for Phase 2. |
| CSA PHASE 2 | DCH - Roof PH2 | Roof structural steel per main structural spec. | No unique criteria beyond global rules. |
| CSA PHASE 2 | MYD - Densified - Water Cooled Structural Steel PH2 | Structural supports over trenches and additional Shell A gantry steel with H.D.A.; same standards as earlier MYD/gantry works. | Extends MYD/gantry support steel into Phase 2. |
| CSA PHASE 2 | Cooling Tower Gantry - Structural Steel PH2 | Additional S355 gantry steel frames with H.D.A.; same standards as Phase 1 gantry. | Phase 2 gantry frame extension. |
| CSA PHASE 2 | Cooling Tower Gantry - Pad Foundations & Plinths PH2 | Anchor bolt/confinement/grout for gantry columns/trestles. | Interface-only structural steel. |
| CSA PHASE 2 | USS/MCP/S25/USS Trestle Foundations – Hold Down Interfaces PH2 | H.D.A. and confinement steel rules for foundations; grout at steel interfaces. | Interface-only scope; no above-ground frames. |
| CSA PHASE 2 | Hold Down Bolt Assemblies Supply PH2 | Anchor bolts to EN 15048; survey/QA; supply of H.D.A. for MCP/USS/S25 foundations. | Phase 2 H.D.A. supply and QA. |
| CSA PHASE 2 | DCH External Steelwork/Metalwork PH2 | External steelwork (cat ladders, balustrades, bollards, parapet/roof stairs) to EN 10025/10210 and EN ISO 14122. | External access and protection steel for DCH Phase 2. |
| CSA PHASE 2 | DCH Envelope Secondary Steel PH2 | Secondary steel for cladding/parapets/penetrations in DCH PH2. | Envelope secondary framework. |
| CSA PHASE 2 | DCH External Windows & Doors PH2 | Misc steel frames/supports for roller shutters and doors (jambs/lintels). | Door/window interface steel. |
| CSA PHASE 3 | DCH - Structural Steel PH3 | Additional S355 EXC2 DCH frames and misc steel; integration with existing structure; access steel rules as before. | Phase 3 DCH frame expansion. |
| CSA PHASE 3 | DCH - Envelope PH3 | Secondary steel for cladding, parapets, joints, louvres, penetrations. | Phase 3 envelope secondary steel. |
| CSA PHASE 3 | DCH - Roof PH3 | Roof structural steel per global rules. | No unique criteria beyond prior phases. |
| CSA PHASE 3 | MYD - Densified - Water Cooled Structural Steel PH3 | Additional Shell A gantry steel and supports for RMUs/battery boxes across trenches; EXC2 and anchor bolt standards as earlier. | Continues MYD/gantry support steel into Phase 3. |
| CSA PHASE 3 | Cooling Tower Gantry - Structural Steel PH3 | Shell A Phase 3 gantry frames integrated with previous phases; EN 10025/10210, EN 1090-2 EXC2, EN 15048. | Gantry frame completion for Phase 3. |
| CSA PHASE 3 | Cooling Tower Gantry - Pad Foundations & Plinths PH3 | H.D.A. and dowels in pad foundations/plinths; anchor/grout specs as prior phases. | Interface-only scope. |
| CSA PHASE 3 | USS/MCP/S25/USS Trestle Foundations – Hold Down Interfaces PH3 | H.D.A. interfaces for Phase 3 foundations; anchor/confinement for baseplates; no above-ground steel. | Foundations/anchor-only. |
| CSA PHASE 3 | Hold Down Bolt Assemblies Supply PH3 | Anchor bolts to EN 15048; QA; H.D.A. supply for MCP/USS/S25; setting-out assistance. | Phase 3 H.D.A. supply. |
| CSA PHASE 3 | Additional Steps and Ramps with Handrails PH3 | Structural references to main steel; access steel detailed under metal fabrications. | Structural support implicit; detailed in metalwork package. |
| CSA PHASE 3 | Louvres for Smoke Extract PH3 | Misc steel support framing and anchors for smoke extract louvres in cladding/roofs. | Additional louvre support frame scope. |
| CSA PHASE 3 | Roof AOV’s and penetrations PH3 | Structural framing in steel for AOVs and roof penetrations; opening framing treated as metal fabrications. | Misc roof opening framing. |
| CSA PHASE 3 | CSA PHASE 3 Site Development | Bollards and crash protection steel around DCH perimeter/yards; pipe/plate materials; anchor bolt rules. | External protection steel as structural misc. |
| CSA PHASE 3 | Fuel Oil Offloading Area - EYD PH3 (steel interface) | Steel H.D.A., kickers/bolts for fuel oil offloading structures; grout where required. | Interface-only scope. |
| CSA PHASE 4 | DCH - Structural Steel PH4 | Final S355 EXC2 DCH frame segments including external access steel and gantry interfaces; integration with existing works. | Completes DCH frame and related access steel. |
| CSA PHASE 4 | DCH - Envelope PH4 | Secondary steel to complete cladding, parapets, louvres, roof drainage support. | Final envelope secondary steel. |
| CSA PHASE 4 | DCH - Roof PH4 | Roof structural steel per main spec. | No unique criteria. |
| CSA PHASE 4 | Cooling Tower Gantry - Structural Steel PH4 | Remaining Shell A gantry steel frames with EXC2 and H.D.A.; integrated with plant/pipe supports. | Final gantry frame stage. |
| CSA PHASE 4 | Cooling Tower Gantry - Pad Foundations & Plinths PH4 | H.D.A. and chamfered plinths for gantry/USS/MCP supports; anchor/grout/movement joints. | Interface-only structural scope. |
| CSA PHASE 4 | USS/MCP/S25/USS Trestle Foundations – Hold Down Interfaces PH4 | H.D.A. interfaces and chamfered plinths; anchor/grout standards; no above-ground steel. | Foundations-only. |
| CSA PHASE 4 | Hold Down Bolt Assemblies Supply PH4 | Final H.D.A. sets for MCP/USS/S25; anchor bolts to EN 15048; QA and coordination to baseplates. | Phase 4 H.D.A. supply. |
| CSA PHASE 4 | Cooling Tower Gantry Access Steel PH4 | Structural references to main steel; access steel itself under metal fabrications. | Structural support implicit. |
| CSA PHASE 4 | DCH External Windows & Doors PH4 | Misc structural frames for roller shutters and external doors; anchors/welds as per metalwork/structural standards. | Final door/window steel interfaces. |
| CSA-RSA PHASE 1 | Security Fence | Metal fabrication and pipe material standards for 3 m chainlink fence posts/gates; anchors for posts/frames. | Additional security fence structural scope under CSA-RSA. |
| CSA-RSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Structural Steel (global) | Cross-reference to SSA structural steel spec. | No new scope. |
| CSA-RSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Roof (global) | Cross-reference to SSA roof structural steel. | No new scope. |
| CSA-RSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Envelope (global) | Cross-reference to SSA envelope structural steel. | No new scope. |


## 2. TRADE PACKAGE: COMPOSITE DECKING

**Baseline Scope:**
- Steel deck sheets in galvanized S350 to NBN EN 10346 and NBN EN 10143, or equivalent recognized roof deck materials.
- Design of deck to NBN EN 1993-1-3 and SCI/BCSA deck design guidance.
- Installation requirements covering:
  - Bearing lengths, end laps, side laps, and fixings/welds (including stud welding where applicable).
  - Opening formation, local strengthening and limitations on additional cuts/openings (engineer approval where noted).
  - Integration with roof systems (Euroclad, Kingspan RD 100/825 and similar) and coordination with penetrations and roof build-up.
- Use of deck as roof decking and structural diaphragm, with diaphragm design guidance where stated.
- Named profiles: TATA D60 for DCH/FSA roofs; Kingspan RD 100/825 for SSA roof; Euroclad roof systems over structural steel as indicated.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
|-------|------|-------------------|------------------|
| CSA PHASE 1 | FSA - Structural Steel | Composite deck spec referenced as separate; no unique deck in this subzone. | Structural zone establishes coordination only. |
| CSA PHASE 1 | FSA - Composite Decking | Galvanized S350 deck to EN 10346/10143; design to EN 1993-1-3; SCI/BCSA installation rules; deck used as roof decking coordinated with penetrations and roof system. | Core baseline for composite roof decking. |
| CSA PHASE 1 | FSA - Envelope | Composite Decking marked “See Composite Decking”. | Cross-reference only. |
| CSA PHASE 1 | FSA - Roof | Roof deck grade/geometry to recognized standards; SCI/BCSA codes; diaphragm design; coordination of roof panels, deck infills and penetrations. | Emphasizes diaphragm action and integration with roof panels. |
| CSA PHASE 1 | DCH - Structural Steel PH1 | Decking referenced; detailed in Composite Decking section. | Cross-reference. |
| CSA PHASE 1 | DCH - Structural Steel PH1 – Composite Decking | S350 deck to EN 10346/10143; SCI/BCSA practice; stud welding codes; TATA D60 profile as roof decking to primary steel. | Introduces TATA D60 profile and stud welding considerations. |
| CSA PHASE 1 | DCH - Envelope PH1 | “See Composite Decking”. | Cross-reference. |
| CSA PHASE 1 | DCH - Roof PH1 | Roof deck material/installation to SCI/BCSA deck practice; diaphragm design and fixing requirements supporting Euroclad roof and penetrations. | Ties deck directly to Euroclad system and diaphragm design. |
| CSA PHASE 1 | Generator Trench Structural Steel | Composite Decking “See Composite Decking”. | No dedicated deck scope. |
| CSA PHASE 1 | USS Trench Structural Steel | Composite Decking “See Composite Decking”. | No dedicated deck scope. |
| CSA PHASE 1 | Cooling Tower Gantry - Structural Steel PH1 | Composite Decking “See Composite Decking”. | No separate gantry deck specified. |
| CSA PHASE 1 | MYD - Densified - Water Cooled Structural Steel PH1 | Composite Decking “See Composite Decking”. | No additional deck. |
| CSA PHASE 1 | EYD Foundations PH1 | Composite Decking “See Composite Decking”. | No deck at foundations. |
| CSA PHASE 1 | Cooling Tower Gantry - Pad Foundations & Plinths PH1 | Composite Decking “See Composite Decking”. | N/A for pads. |
| CSA PHASE 1 | Hold Down Bolt Assemblies Supply PH1 | Composite Decking “See Composite Decking”. | N/A. |
| CSA PHASE 1 | Site Development PH1 (Fencing and Bollards CSA PH1) | Composite Decking “See Composite Decking”. | No deck. |
| CSA PHASE 1 | DCH & FSA Cladding Secondary Steel PH1 | Composite Decking “See Composite Decking”. | No explicit decking. |
| CSA PHASE 1 | Steel Decking FSA PH1 | S350 deck to EN 10346/10143; design to EN 1993-1-3; SCI/BCSA decks; full installation rules for TATA D60 deck forming FSA roof. | Location-specific confirmation of FSA roof deck profile and rules. |
| CSA PHASE 1 | Steel Decking DCH PH1 | Same deck material/installation standards as FSA; diaphragm design and fixing for DCH roof deck. | Confirms shared standards with FSA but adds diaphragm design. |
| CSA PHASE 1 | FSA/DCH Intumescent Protection PH1 | Composite Decking “See Composite Decking”. | No fire-rated deck beyond usual coatings. |
| CSA PHASE 1 | USS Trench Structural Steel (duplicate) | Composite Decking “See Composite Decking”. | No change. |
| CSA PHASE 1 | Steel Supports in EYD Slabs PH1 | Composite Decking “See Composite Decking”. | No deck. |
| CSA PHASE 1 | Cooling Tower Gantry – Steel Foundations Interface PH1 | Composite Decking “See Composite Decking”. | N/A. |
| CSA PHASE 1 | FSA & DCH External Steelwork/Metalwork PH1 | Composite Decking “See Composite Decking”. | No dedicated deck. |
| CSA PHASE 1 | DCH - Structural Steel/Envelope/Roof PH1 (global) | Composite Decking “See Composite Decking”. | Cross-references only. |
| CSA PHASE 1 | Security Fence & RSA Steel Works PH1 / CSA-RSA PHASE 1 Security Fence | Composite Decking “See Composite Decking”. | No decking. |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Roof | Kingspan RD 100/825 steel roof deck; installation to SCI/BCSA; welding/fastening and opening limits. | Introduces proprietary Kingspan RD 100/825 roof deck. |
| CSA-SSA PHASE 1 | SSA - Structural Steel / Envelope / Foundations / Site Development / AHU Foundation | Composite Decking “See Composite Decking”. | No additional deck. |
| CSA PHASE 2 | DCH - Structural Steel PH2 | Composite Decking “See Composite Decking”. | Deck defined elsewhere. |
| CSA PHASE 2 | DCH - Envelope PH2 | Composite Decking “See Composite Decking”. | Cross-reference. |
| CSA PHASE 2 | DCH - Roof PH2 | Steel deck for Phase 2 roof; installation and opening limitations requiring engineer approval; SCI/BCSA guidance for installation and diaphragm action. | Highlights restriction on extra openings. |
| CSA PHASE 2 | MYD / Gantry / Pad Foundations / Interfaces / H.D.A. | Composite Decking “See Composite Decking”. | No dedicated deck. |
| CSA PHASE 2 | DCH External Steelwork / Envelope Secondary / External Windows & Doors PH2 | Composite Decking “See Composite Decking”. | No deck scope. |
| CSA PHASE 3 | DCH - Structural Steel PH3 | Composite Decking “See Composite Decking”. | Deck referenced separately. |
| CSA PHASE 3 | DCH - Envelope PH3 | Composite Decking “See Composite Decking”. | No deck. |
| CSA PHASE 3 | DCH - Roof PH3 | Euroclad roof panel systems over existing deck extended to Phase 3; roof deck and diaphragm design; restrictions for openings and welding quality. | Emphasizes continuity of existing deck and limits on modifications. |
| CSA PHASE 3 | MYD/Gantry/Interfaces/Site Development/Other PH3 Zones | Composite Decking “See Composite Decking”. | No dedicated deck. |
| CSA PHASE 4 | DCH - Structural Steel PH4 | Composite Decking “See Composite Decking”. | Deck defined under roof zones. |
| CSA PHASE 4 | DCH - Envelope PH4 | Composite Decking “See Composite Decking”. | N/A. |
| CSA PHASE 4 | DCH - Roof PH4 | Euroclad 280 mm top deck roof system supported on deck and structural steel; same standards as previous phases. | Moves to deeper roof build-up but same decking standards. |
| CSA PHASE 4 | Cooling Tower Gantry / Pad Foundations / Interfaces / H.D.A. / External Windows & Doors PH4 | Composite Decking “See Composite Decking”. | No deck scopes. |
| CSA-RSA PHASE 1 | Security Fence / SSA global zones / Site Development / AHU Foundation | Composite Decking “See Composite Decking”. | No composite decking. |


## 3. TRADE PACKAGE: FIRE PROTECTION

**Baseline Scope:**
- Thin-film intumescent coatings to structural steel:
  - FIRETEX FX2003 or FX6002 (or equivalent systems) with performance to EN 16623, EN 13381-4 and EN 13501.
  - Fire resistance periods primarily 2 hours (R120) for major structural zones and 1 hour (R60) in later DCH phases and trenches where defined.
  - Ability to adjust fire rating via dry film thickness (DFT) in line with EN 13381-4 test data.
- Application and QA:
  - Factory or on-site spray application permitted, with on-site touch-up.
  - Blast-cleaned substrate (Sa 2.5 where specified) and compatible primer/topcoat systems.
  - Detailed DFT determination, measurement and inspection regime.
  - Coordination with corrosion protection regime and environment classification.
- Scope covers primary and selected secondary structural steel; external gantries generally exempt unless drawings specifically require.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
|-------|------|-------------------|------------------|
| CSA PHASE 1 | FSA - Structural Steel – Fire Protection | Thin-film intumescent (FX2003/FX6002) to 2-hour rating for structural steel; Sa 2.5 blast; full DFT inspection regime; factory application with site touch-up. | Establishes global 2-hour standard for internal structural steel. |
| CSA PHASE 1 | FSA - Envelope – Fire Protection | “See Fire Protection”. | No zone-specific variation. |
| CSA PHASE 1 | FSA - Roof – Fire Protection | Intumescent and DFT control applicable to roof-supporting steel; EN 13381-4 testing for required rating; relies on structural scope intumescent spec. | Extends FSA 2-hour regime to roof steel. |
| CSA PHASE 1 | DCH - Structural Steel PH1 – Fire Protection | FX2003/FX6002 to 2-hour rating for Phase 1 DCH structural steel; factory or spray; DFT/QA regime; ratings from test data. | Confirms 2-hour rating for DCH Phase 1. |
| CSA PHASE 1 | DCH - Envelope PH1 – Fire Protection | “See Fire Protection”. | No unique variation. |
| CSA PHASE 1 | DCH - Roof PH1 – Fire Protection | Intumescent design/application for roof beams/purlins; rating per EN 13381-4; coordinated with DCH structural scope. | Roof members follow DCH fire rating. |
| CSA PHASE 1 | Generator Trench Structural Steel – Fire Protection | Intumescent systems providing 60-minute (R60) rating; EN 13381-4; application and DFT rules for factory and touch-up. | Reduced rating for trench steel vs main frames. |
| CSA PHASE 1 | USS Trench Structural Steel – Fire Protection | Intumescent systems suitable for 60-minute rating; detailed application and DFT criteria. | Aligns USS trench with generator trench R60. |
| CSA PHASE 1 | Cooling Tower Gantry - Structural Steel PH1 – Fire Protection | Intumescent optional only where specifically required by drawings; otherwise gantries non-fire-rated. | Explicit exclusion unless noted; reduces fire scope on gantry steel. |
| CSA PHASE 1 | MYD - Densified - Water Cooled Structural Steel PH1 – Fire Protection | “See Fire Protection”. | No specific rating stated; follows adjacent structural zones where required. |
| CSA PHASE 1 | EYD Foundations PH1 / Gantry Pads / H.D.A. Supply / Fencing & Bollards / Cladding Secondary Steel / Steel Decking FSA & DCH PH1 | Fire Protection “See Fire Protection”. | H.D.A. and minor items typically unprotected unless otherwise specified. |
| CSA PHASE 1 | FSA/DCH Intumescent Protection PH1 | Intumescent protection to structural steel in FSA and DCH Phase 1 providing 2-hour rating; FX2003/FX6002; DFT adjusted to rating; full application/curing/DFT rules; compatibility with primers; EN 13381-4 & EN 13501 classifications. | Consolidated fire protection package for main FSA/DCH frames. |
| CSA PHASE 1 | USS Trench Structural Steel (duplicate) / Steel Supports in EYD Slabs / Gantry – Steel Foundations Interface / FSA & DCH External Steelwork / DCH global zone listings / RSA/SSA references | Fire Protection “See Fire Protection”. | No additional detail; assume as per main structural fire strategy, often none for external-only items. |
| CSA-SSA PHASE 1 | SSA - Structural Steel / Roof / Envelope / Foundations / Site Dev / AHU Foundation | Fire Protection “See Fire Protection”. | Fire to be defined by project fire strategy; not explicitly quantified here. |
| CSA PHASE 2 | DCH - Structural Steel PH2 – Fire Protection | Intumescent to provide 1-hour rating (R60) to Phase 2 DCH steel; systems allow varying ratings via DFT; controlled by EN 13381-4 test data. | Reduced rating for DCH Ph2 vs Phase 1 (2-hour). |
| CSA PHASE 2 | DCH - Envelope PH2 / DCH - Roof PH2 / MYD / Gantry / Pad Foundations / Interfaces / H.D.A. / DCH External Steelwork / Envelope Secondary / External Windows & Doors PH2 | Fire Protection “See Fire Protection”. | No explicit variations; likely follow adjacent structural element rating or unprotected for external-only steel. |
| CSA PHASE 3 | DCH - Structural Steel PH3 – Fire Protection | Intumescent adjustable for 1-hour rating to Phase 3 DCH frames; DFT from EN 13381-4. | Continues R60 regime for later DCH phases. |
| CSA PHASE 3 | DCH - Envelope PH3 / DCH - Roof PH3 / MYD / Gantry / Pads / Interfaces / H.D.A. / Additional Steps & Ramps / Louvres / Roof AOVs / Site Development / Fuel Oil Offloading | Fire Protection “See Fire Protection”. | Again, no explicit ratings beyond main DCH frames. |
| CSA PHASE 4 | DCH - Structural Steel PH4 – Fire Protection | 1-hour intumescent for Phase 4 DCH steel; DFT rules and EN 13381-4 test data. | Maintains R60 regime for final DCH phase. |
| CSA PHASE 4 | DCH - Envelope PH4 / DCH - Roof PH4 / Gantry steel/phases / Pads / Interfaces / H.D.A. / Gantry Access Steel / External Windows & Doors PH4 | Fire Protection “See Fire Protection”. | External gantries again generally non-fire-rated unless drawings require. |
| CSA-RSA PHASE 1 | Security Fence / SSA global zones / SSA foundations / SSA Site Development / AHU Foundation | Fire Protection “See Fire Protection”. | No explicit intumescent protection to fence or small SSA steel noted. |


## 4. TRADE PACKAGE: CORROSION PROTECTION

**Baseline Scope:**
- Corrosion classification to NBN EN ISO 12944-2, typically:
  - C2 for internal environments.
  - C4 for external environments, including external access steel, gantries, fences, bollards, and envelope metalwork.
- Blast cleaning and surface preparation:
  - Sa 2.5 blast cleaning for intumescent-coated and painted structural steel where specified.
  - Surface cleanliness and profile control to EN ISO 8501-1, EN ISO 8502-3, EN ISO 8503-2.
- Coating systems:
  - Paint systems with DFT checks to EN ISO 2808.
